href,stress_address,city,state_and_zip,county,img_href,beds,bath,area,year_built,lot_size,walk_score,transit_score,bike_score,cooling,heating,has_pool,price
https://www.redfin.com/TX/Dallas/3135-Royal-Gable-Dr-75229/home/31141573,3135 Royal Gable Dr,Dallas, TX 75229,Dallas County,https://ssl.cdn-redfin.com/photo/90/bigphoto/498/14659498_1.jpg https://ssl.cdn-redfin.com/photo/90/mbpaddedwide/498/genMid.14659498_9_1.jpg https://ssl.cdn-redfin.com/photo/90/mbpaddedwide/498/genMid.14659498_27_1.jpg,3,2,1229,1983,0,68,39,63,0,0,0,274000
https://www.redfin.com/PA/Morrisville/42-E-Hendrickson-Ave-19067/home/38900272,42 E Hendrickson Ave,Morrisville, PA 19067,Bucks County,https://ssl.cdn-redfin.com/photo/235/bigphoto/088/PABU2010088_1.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/088/genMid.PABU2010088_6_3.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/088/genMid.PABU2010088_18_3.jpg,3,1,1348,1913,0,70,0,46,0,0,0,235000
https://www.redfin.com/VA/Richmond/4114-Bremner-Blvd-23228/home/59645102,4114 Bremner Blvd,Henrico, VA 23228,Henrico County,https://ssl.cdn-redfin.com/photo/131/bigphoto/188/2134188_0.jpg https://ssl.cdn-redfin.com/photo/131/mbpaddedwide/188/genMid.2134188_6_0.jpg https://ssl.cdn-redfin.com/photo/131/mbpaddedwide/188/genMid.2134188_20_0.jpg,3,1,1434,1941,0,45,19,39,1,2,0,229000
https://www.redfin.com/MS/Jackson/1341-Deerfield-Ln-39211/home/117417569,1341 Deerfield Ln,Jackson, MS 39211,Hinds County,https://ssl.cdn-redfin.com/photo/294/bigphoto/156/4002156_2.jpg https://ssl.cdn-redfin.com/photo/294/mbpaddedwide/156/genMid.4002156_5_1.jpg https://ssl.cdn-redfin.com/photo/294/mbpaddedwide/156/genMid.4002156_17_1.jpg,3,2,1356,1961,0,11,15,33,2,2,0,139900
https://www.redfin.com/OH/Baltic/1390-Co-Rd-600-43804/home/70189392,1390 County Road 600,Baltic, OH 43804,Holmes County,https://ssl.cdn-redfin.com/photo/159/bigphoto/744/4324744_0.jpg https://ssl.cdn-redfin.com/photo/159/mbpaddedwide/744/genMid.4324744_3_0.jpg https://ssl.cdn-redfin.com/photo/159/mbpaddedwide/744/genMid.4324744_9_0.jpg,5,1.5,2266,1940,0,5,0,42,0,3,0,175000
https://www.redfin.com/OK/Claremore/2001-N-Chambers-Ave-74017/home/78613336,2001 N Chambers Ave,Claremore, OK 74017,Rogers County,https://ssl.cdn-redfin.com/photo/164/bigphoto/825/2138825_1.jpg https://ssl.cdn-redfin.com/photo/164/mbpaddedwide/825/genMid.2138825_8_1.jpg https://ssl.cdn-redfin.com/photo/164/mbpaddedwide/825/genMid.2138825_24_1.jpg,3,2,1317,2003,0,13,0,39,1,2,0,159900
https://www.redfin.com/AZ/Tucson/7416-N-Shirley-Ln-85741/home/50590897,7416 N Shirley Ln,Tucson, AZ 85741,Pima County,https://ssl.cdn-redfin.com/photo/115/bigphoto/886/22125886_0.jpg https://ssl.cdn-redfin.com/photo/115/mbpaddedwide/886/genMid.22125886_4_0.jpg https://ssl.cdn-redfin.com/photo/115/mbpaddedwide/886/genMid.22125886_12_0.jpg,4,3,1505,1980,0,52,32,46,0,0,0,334900
https://www.redfin.com/CA/Oregon-House/9340-Rices-Texas-Hill-Rd-95962/home/127661593,9340 Rices Texas Hill Rd,Oregon House, CA 95962,Yuba County,https://ssl.cdn-redfin.com/photo/77/bigphoto/169/221140169_0.jpg https://ssl.cdn-redfin.com/photo/77/mbpaddedwide/169/genMid.221140169_12_0.jpg https://ssl.cdn-redfin.com/photo/77/mbpaddedwide/169/genMid.221140169_36_0.jpg,6,4.5,2996,1958,0,0,0,30,2,3,0,419000
https://www.redfin.com/WI/Lakewood/15301-Pleasant-Hill-Ln-54138/home/89407514,15301 Long St,Listing provided courtesy of Todd Wiese Homeselling System, Inc.,Oconto County,https://ssl.cdn-redfin.com/photo/130/bigphoto/965/50247965_8.jpg https://ssl.cdn-redfin.com/photo/130/mbpaddedwide/965/genMid.50247965_8_8.jpg https://ssl.cdn-redfin.com/photo/130/mbpaddedwide/965/genMid.50247965_24_8.jpg,3,1.5,1493,1968,0,35,0,25,0,0,0,129900
https://www.redfin.com/ID/Boise/11237-Powderhorn-St-83713/home/106748560,11237 W Powderhorn St,Boise, ID 83713,Ada County,https://ssl.cdn-redfin.com/photo/228/bigphoto/053/98825053_0.jpg https://ssl.cdn-redfin.com/photo/228/mbpaddedwide/053/genMid.98825053_9_0.jpg https://ssl.cdn-redfin.com/photo/228/mbpaddedwide/053/genMid.98825053_28_0.jpg,4,2,1752,1977,0,32,0,45,1,3,0,450000
