KNeighborsRegressor(n_neighbors=30)
RandomForestRegressor(max_features='sqrt', random_state=4)


-------------------------------------------------------
KNN Regressor
The best k for KNN Regressor is 30
-------------------------------------------------------
Random Forest Regressor
('auto', 10) 0.36228485739784044
('auto', 20) 0.36405226465442986
('auto', 30) 0.36492871210902045
('auto', 40) 0.3858612293431161
('auto', 50) 0.39106769286436294
('auto', 60) 0.3945237824417007
('auto', 70) 0.4000705314765874
('auto', 80) 0.3986083159041051
('auto', 90) 0.40337501456347846
('auto', 100) 0.4070718879123385
('auto', 110) 0.40846362073008535
('auto', 120) 0.4095181673206939
('auto', 130) 0.41239595692677994
('auto', 140) 0.42017243810243016
('auto', 150) 0.42119849040362095
('auto', 160) 0.42736098016531765
('auto', 170) 0.4290847593284597
('auto', 180) 0.42904693852880216
('auto', 190) 0.43280925915111157
('auto', 200) 0.4300397507505931
('sqrt', 10) 0.39489586862465015
('sqrt', 20) 0.448641572690842
('sqrt', 30) 0.47346547181659027
('sqrt', 40) 0.489600645701682
('sqrt', 50) 0.4919559087554524
('sqrt', 60) 0.495255726930384
('sqrt', 70) 0.5023744392421753
('sqrt', 80) 0.502605668346198
('sqrt', 90) 0.5063606201377983
('sqrt', 100) 0.5115200974266062
('sqrt', 110) 0.510526824552404
('sqrt', 120) 0.5115593336886075
('sqrt', 130) 0.5097032799843786
('sqrt', 140) 0.5153877535468674
('sqrt', 150) 0.5129672632216224
('sqrt', 160) 0.5128885922856361
('sqrt', 170) 0.5146173031588519
('sqrt', 180) 0.5110077730122552
('sqrt', 190) 0.5133643326537718
('sqrt', 200) 0.5120738951801627
('log2', 10) 0.39489586862465015
('log2', 20) 0.448641572690842
('log2', 30) 0.47346547181659027
('log2', 40) 0.489600645701682
('log2', 50) 0.4919559087554524
('log2', 60) 0.495255726930384
('log2', 70) 0.5023744392421753
('log2', 80) 0.502605668346198
('log2', 90) 0.5063606201377983
('log2', 100) 0.5115200974266062
('log2', 110) 0.510526824552404
('log2', 120) 0.5115593336886075
('log2', 130) 0.5097032799843786
('log2', 140) 0.5153877535468674
('log2', 150) 0.5129672632216224
('log2', 160) 0.5128885922856361
('log2', 170) 0.5146173031588519
('log2', 180) 0.5110077730122552
('log2', 190) 0.5133643326537718
('log2', 200) 0.5120738951801627
The best comb for Random Forest Regressor is ('sqrt', 140)
